date;project;ops;mibs
2024-01-07T22:44:16+01:00;GWDG 4v 8GB;2588721.44;2528.05
2024-01-07T22:44:36+01:00;GWDG 4v 8GB;2823772.00;2757.59
2024-01-07T22:44:56+01:00;GWDG 4v 8GB;3304195.64;3226.75
2024-01-07T22:45:16+01:00;GWDG 4v 8GB;2696511.79;2633.31
2024-01-07T22:45:36+01:00;GWDG 4v 8GB;2901155.87;2833.16
2024-01-07T22:45:56+01:00;GWDG 4v 8GB;2698038.99;2634.80
2024-01-07T22:46:16+01:00;GWDG 4v 8GB;2276672.18;2223.31
2024-01-07T22:46:36+01:00;GWDG 4v 8GB;2650524.08;2588.40
2024-01-07T22:46:56+01:00;GWDG 4v 8GB;3355086.60;3276.45
2024-01-07T22:47:16+01:00;GWDG 4v 8GB;2697288.62;2634.07
