date;project;score
2024-01-08T11:24:13+00:00;Strato 4v 8GB;2731.18
2024-01-08T11:24:33+00:00;Strato 4v 8GB;2471.80
2024-01-08T11:24:53+00:00;Strato 4v 8GB;2746.43
2024-01-08T11:25:13+00:00;Strato 4v 8GB;2727.06
2024-01-08T11:25:33+00:00;Strato 4v 8GB;2717.90
2024-01-08T11:25:53+00:00;Strato 4v 8GB;2739.23
2024-01-08T11:26:13+00:00;Strato 4v 8GB;2678.95
2024-01-08T11:26:33+00:00;Strato 4v 8GB;2716.63
2024-01-08T11:26:53+00:00;Strato 4v 8GB;2709.12
2024-01-08T11:27:13+00:00;Strato 4v 8GB;2736.22
