date;project;scoreBitsPerSec
2024-01-07T23:27:53+01:00;GWDG 4v 8GB;401012093.69599426
2024-01-07T23:28:14+01:00;GWDG 4v 8GB;4701649777.382404
2024-01-07T23:28:37+01:00;GWDG 4v 8GB;4564604288.081099
2024-01-07T23:28:57+01:00;GWDG 4v 8GB;4934646029.712247
2024-01-07T23:29:17+01:00;GWDG 4v 8GB;676953206.963251
2024-01-07T23:29:37+01:00;GWDG 4v 8GB;4840291216.586
2024-01-07T23:29:57+01:00;GWDG 4v 8GB;798877432.3340417
2024-01-07T23:30:18+01:00;GWDG 4v 8GB;325462327.89727175
2024-01-07T23:30:38+01:00;GWDG 4v 8GB;504937865.44619936
2024-01-07T23:30:58+01:00;GWDG 4v 8GB;3972955790.4420958
