date;project;scoreBitsPerSec
2024-01-07T23:32:55+01:00;GWDG 4v 8GB;2259680263.99736
2024-01-07T23:33:15+01:00;GWDG 4v 8GB;2045373872.8896632
2024-01-07T23:33:45+01:00;GWDG 4v 8GB;2331781274.959083
2024-01-07T23:34:16+01:00;GWDG 4v 8GB;2341746083.091519
2024-01-07T23:34:36+01:00;GWDG 4v 8GB;236730665.81281048
2024-01-07T23:34:56+01:00;GWDG 4v 8GB;434960624.9764378
2024-01-07T23:35:16+01:00;GWDG 4v 8GB;2218441278.521827
2024-01-07T23:35:47+01:00;GWDG 4v 8GB;2340154802.12938
2024-01-07T23:36:17+01:00;GWDG 4v 8GB;2335958202.038879
2024-01-07T23:36:47+01:00;GWDG 4v 8GB;2345392941.581172
